"","Fungi","Relative_Abundance","Sampletime","Direction","Distance"
"342","Other",0,"TP1011","A",1
"343","Other",0,"TP0913","B",1
"344","Other",0,"TP1011","B",1
"345","Other",0,"TP0913","C",1
"346","Other",0,"TP1011","C",1
"347","Other",0,"TP0913","A",2
"348","Other",0,"TP1011","A",2
"349","Other",0,"TP0913","B",2
"350","Other",1,"TP1011","B",2
"351","Other",0,"TP0913","C",2
"352","Other",0,"TP1011","C",2
"353","Other",0,"TP0913","A",4
"354","Other",0,"TP1011","A",4
"355","Other",0,"TP0913","B",4
"356","Other",0,"TP1011","B",4
"357","Other",1,"TP0913","C",4
"358","Other",0,"TP1011","C",4
"359","Other",0,"TP0913","A",8
"360","Other",0,"TP1011","A",8
"361","Other",0,"TP0913","B",8
"362","Other",0,"TP1011","B",8
"363","Other",0,"TP0913","C",8
"364","Other",0,"TP1011","C",8
"365","Other",12,"TP0913","P",0
"366","Other",47,"TP1011","P",0
"367","Other",10,"TP0913","A",1
"368","Other",23,"TP1011","A",1
"369","Other",6,"TP0913","B",1
"370","Other",122,"TP1011","B",1
"371","Other",13,"TP0913","C",1
"372","Other",3,"TP1011","C",1
"373","Other",2,"TP0913","A",2
"374","Other",9,"TP1011","A",2
"375","Other",8,"TP0913","B",2
"376","Other",43,"TP1011","B",2
"377","Other",2,"TP0913","C",2
"378","Other",3,"TP1011","C",2
"379","Other",7,"TP0913","A",4
"380","Other",54,"TP1011","A",4
"381","Other",4,"TP0913","B",4
"382","Other",28,"TP1011","B",4
"383","Other",12,"TP0913","C",4
"384","Other",21,"TP1011","C",4
"385","Other",34,"TP0913","A",8
"386","Other",16,"TP1011","A",8
"387","Other",33,"TP0913","B",8
"388","Other",45,"TP1011","B",8
"389","Other",4,"TP0913","C",8
"390","Other",25,"TP1011","C",8
"391","Other",481,"TP0913","P",0
"392","Other",526,"TP1011","P",0
"393","Other",1024,"TP0913","A",1
"394","Other",440,"TP1011","A",1
"395","Other",953,"TP0913","B",1
"396","Other",1815,"TP1011","B",1
"397","Other",1325,"TP0913","C",1
"398","Other",393,"TP1011","C",1
"399","Other",593,"TP0913","A",2
"400","Other",527,"TP1011","A",2
"401","Other",1692,"TP0913","B",2
"402","Other",1305,"TP1011","B",2
"403","Other",513,"TP0913","C",2
"404","Other",1450,"TP1011","C",2
"405","Other",833,"TP0913","A",4
"406","Other",1196,"TP1011","A",4
"407","Other",813,"TP0913","B",4
"408","Other",434,"TP1011","B",4
"409","Other",1007,"TP0913","C",4
"410","Other",990,"TP1011","C",4
"411","Other",2634,"TP0913","A",8
"412","Other",516,"TP1011","A",8
"413","Other",1211,"TP0913","B",8
"414","Other",729,"TP1011","B",8
"415","Other",307,"TP0913","C",8
"416","Other",537,"TP1011","C",8
"417","Other",0,"TP0913","P",0
"418","Other",18,"TP1011","P",0
"419","Other",0,"TP0913","A",1
"420","Other",5,"TP1011","A",1
"421","Other",1,"TP0913","B",1
"422","Other",24,"TP1011","B",1
"423","Other",2,"TP0913","C",1
"424","Other",6,"TP1011","C",1
"425","Other",4,"TP0913","A",2
"426","Other",7,"TP1011","A",2
"427","Other",3,"TP0913","B",2
"428","Other",8,"TP1011","B",2
"429","Other",2,"TP0913","C",2
"430","Other",2,"TP1011","C",2
"431","Other",22,"TP0913","A",4
"432","Other",34,"TP1011","A",4
"433","Other",40,"TP0913","B",4
"434","Other",2,"TP1011","B",4
"435","Other",2,"TP0913","C",4
"436","Other",2,"TP1011","C",4
"437","Other",7,"TP0913","A",8
"438","Other",0,"TP1011","A",8
"439","Other",6,"TP0913","B",8
"440","Other",5,"TP1011","B",8
"441","Other",3,"TP0913","C",8
"442","Other",1,"TP1011","C",8
"443","Other",14,"TP0913","P",0
"444","Other",57,"TP1011","P",0
"445","Other",95,"TP0913","A",1
"446","Other",122,"TP1011","A",1
"447","Other",115,"TP0913","B",1
"448","Other",1501,"TP1011","B",1
"449","Other",473,"TP0913","C",1
"450","Other",1026,"TP1011","C",1
"451","Other",185,"TP0913","A",2
"452","Other",860,"TP1011","A",2
"453","Other",76,"TP0913","B",2
"454","Other",212,"TP1011","B",2
"455","Other",105,"TP0913","C",2
"456","Other",617,"TP1011","C",2
"457","Other",62,"TP0913","A",4
"458","Other",202,"TP1011","A",4
"459","Other",6,"TP0913","B",4
"460","Other",366,"TP1011","B",4
"461","Other",115,"TP0913","C",4
