"","Fungi","Relative_Abundance","Habitat","TP","Treatment","Cultivar"
"274","Ascomycota",0.908074808471395,"Leaf",16,"POST","RTx430"
"275","Ascomycota",0.913631442463666,"Rhizosphere",16,"POST","RTx430"
"276","Ascomycota",0.988525075832692,"Root",16,"POST","RTx430"
"277","Ascomycota",0.839168163338341,"Soil",16,"POST","RTx430"
"278","Ascomycota",0.918801381084773,"Leaf",17,"POST","RTx430"
"279","Ascomycota",0.959540792350514,"Rhizosphere",17,"POST","RTx430"
"280","Ascomycota",0.977967744322356,"Root",17,"POST","RTx430"
"281","Ascomycota",0.924738352920994,"Soil",17,"POST","RTx430"
"282","Ascomycota",0.846898750362977,"Soil",0,"PRE","RTx430"
"283","Ascomycota",0.940623339617928,"Leaf",3,"PRE","RTx430"
"284","Ascomycota",0.850466406888975,"Rhizosphere",3,"PRE","RTx430"
"285","Ascomycota",0.946306569969766,"Root",3,"PRE","RTx430"
"286","Ascomycota",0.844163879202895,"Soil",3,"PRE","RTx430"
"287","Ascomycota",0.930614538321174,"Leaf",4,"PRE","RTx430"
"288","Ascomycota",0.932146713657517,"Rhizosphere",4,"PRE","RTx430"
"289","Ascomycota",0.985730961482443,"Root",4,"PRE","RTx430"
"290","Ascomycota",0.808532320484432,"Soil",4,"PRE","RTx430"
"291","Ascomycota",0.936842143367051,"Leaf",5,"PRE","RTx430"
"292","Ascomycota",0.818989932999532,"Rhizosphere",5,"PRE","RTx430"
"293","Ascomycota",0.986356010452519,"Root",5,"PRE","RTx430"
"294","Ascomycota",0.783469222707307,"Soil",5,"PRE","RTx430"
"295","Ascomycota",0.857786649760324,"Leaf",6,"PRE","RTx430"
"296","Ascomycota",0.96263695675314,"Rhizosphere",6,"PRE","RTx430"
"297","Ascomycota",0.986810649412678,"Root",6,"PRE","RTx430"
"298","Ascomycota",0.900247495620299,"Soil",6,"PRE","RTx430"
"299","Ascomycota",0.889137161647883,"Leaf",7,"PRE","RTx430"
"300","Ascomycota",0.964817591655714,"Rhizosphere",7,"PRE","RTx430"
"301","Ascomycota",0.989275390078449,"Root",7,"PRE","RTx430"
"302","Ascomycota",0.860841469229422,"Soil",7,"PRE","RTx430"
"303","Ascomycota",0.81084006721476,"Leaf",8,"PRE","RTx430"
"304","Ascomycota",0.945580118770159,"Rhizosphere",8,"PRE","RTx430"
"305","Ascomycota",0.989596710936796,"Root",8,"PRE","RTx430"
"306","Ascomycota",0.814596290693372,"Soil",8,"PRE","RTx430"
"307","Ascomycota",0.397490397614886,"Leaf",9,"PRE","RTx430"
"308","Ascomycota",0.856430883725769,"Rhizosphere",9,"PRE","RTx430"
"309","Ascomycota",0.964851157121835,"Root",9,"PRE","RTx430"
"310","Ascomycota",0.828622607892684,"Soil",9,"PRE","RTx430"
"311","Ascomycota",0.482055872247595,"Leaf",10,"PRE","RTx430"
"312","Ascomycota",0.882252025045135,"Rhizosphere",10,"PRE","RTx430"
