sorghum	Guild	Genus
697	Yeast	Udeniomyces
6	Plant pathogen	Mycocentrospora
15795	Saprotroph	Entoloma
175	Plant pathogen	Fusarium
153	Saprotroph	Mortierella
126	Saprotroph	Mortierella
147	Saprotroph	Serendipita
175	Saprotroph	Scutellinia
326	Saprotroph	Mortierella
972	Saprotroph	Oliveonia
528	Saprotroph	Aspergillus
68457	Yeast	_
55	Endophyte	Acremonium
187	Saprotroph	Mortierella
616	Arbuscular mycorrhizal	_
422	Arbuscular mycorrhizal	_
156	Saprotroph	_
123	Saprotroph	Gilbertella
511	Unidentified & others	Lecanicillium
232	Yeast	Dioszegia
24778	Yeast	Naganishia
118	Saprotroph	Rhizophlyctis
251	Saprotroph	_
93	Saprotroph	Chalara
51	Saprotroph	Phaeosphaeria
82	Saprotroph	Leptospora
249	Yeast	Ustilago
179	Unidentified & others	Sarcinomyces
677	Unidentified & others	Hydnocystis
464805	Plant pathogen	Alternaria
84068	Arbuscular mycorrhizal	Claroideoglomus
163	Unidentified & others	_
82	Saprotroph	Mortierella
497	Saprotroph	Helicoma
289	Saprotroph	Cristinia
16	Saprotroph	Mortierella
139	Saprotroph	Mortierella
387	Unidentified & others	Polyschema
18668	Yeast	_
716	Plant pathogen	Fusarium
102	Unidentified & others	_
119	Saprotroph	Cistella
698	Unidentified & others	Cosmospora
230	Arbuscular mycorrhizal	Glomus
14269	Plant pathogen	Fusarium
670	Saprotroph	Wallemia
85	Plant pathogen	Phoma
17789	Saprotroph	Conocybe
276	Unidentified & others	_
259	Plant pathogen	Thanatephorus
120	Saprotroph	Pholiota
316	Saprotroph	Mortierella
199	Endophyte	Acremonium
342	Saprotroph	Paraphaeosphaeria
350	Saprotroph	Pseudeurotium
84	Unidentified & others	Chaetosphaeronema
163298	Saprotroph	Trichocladium
79	Saprotroph	Rhizophlyctis
142	Endophyte	Alanphillipsia
181	Saprotroph	Trametes
77	Unidentified & others	_
262	Arbuscular mycorrhizal	_
128	Arbuscular mycorrhizal	Claroideoglomus
58	Saprotroph	Galerina
152	Saprotroph	Coniochaeta
36314	Saprotroph	Gymnoascus
105	Plant pathogen	Spizellomyces
316	Saprotroph	Entoloma
